course_id,internal_role,racecard_display,operation,note
東京芝1600,頭,単🔥,正式,勝率・複勝率優位を維持
東京芝2400,頭,単🔥,正式,強い勝率・複勝率優位
東京ダ1400,頭,単🔥,正式,強い勝率・複勝率優位
東京芝2000,頭,単🔥,正式,近年強化
京都ダ1800,頭,単🔥,正式,大標本で安定
阪神芝1600,頭,単🔥,正式,好走能力維持
中京ダ1200,頭,単🔥,ver2.9,栗東＋当週坂路<56＋LAP1<13＋LAP2>13
東京芝1800,頭＋軸,単🔥・軸,ver2.9,美浦＋前週土日坂路<58＋当週W1F<12
中山芝1200,軸,軸,正式,複勝率優位維持
中山芝2000,軸,軸,正式,複勝率優位
阪神芝1200,軸,軸,正式,近年は複勝型
中山ダ1800,軸,軸,正式,複勝率優位
東京ダ1600,軸,軸,正式,複勝率優位
福島ダ1150,軸,軸,ver2.9,栗東＋前週土日坂路あり
中山芝1800,紐,紐,正式,勝ち切り評価は上げない
中京ダ1800,紐,紐,正式,相手評価
中京芝1200,紐＋監視,紐・補,正式,近年弱化
中京芝1600,紐＋監視,紐・補,正式,近年弱化
小倉ダ1700,弱め＋監視,紐・補,正式,優位性小
阪神芝1400,紐,紐,ver2.9,栗東＋前週土日坂路<56
福島芝1800,頭～軸候補,単🔥・軸※,慎重運用,好走性能は残るが単勝妙味低下
札幌ダート,頭候補,単🔥※,慎重運用,N不足
中京ダ1900,解除候補,,解除,通常コース判定から解除
